iter	Logloss
0	0.6719114507
1	0.6515187934
2	0.6351883593
3	0.6222650009
4	0.6103806779
5	0.6021708695
6	0.5952075705
7	0.589805871
8	0.5852084213
9	0.5813305744
10	0.5771247657
11	0.5733109809
12	0.569304372
13	0.5662625874
14	0.5645831541
15	0.5625727888
16	0.5609352858
17	0.5595806889
18	0.5582046854
19	0.5568421941
20	0.5555001933
21	0.5543671694
22	0.5538411913
23	0.5518137772
24	0.5508363906
25	0.5493543697
26	0.5489464084
27	0.5482997979
28	0.5468296847
29	0.5460223351
30	0.5448212771
31	0.5443622851
32	0.5435927734
33	0.543202568
34	0.5421765119
35	0.5414703163
36	0.5413939904
37	0.5410245905
38	0.5408043688
39	0.5399321277
40	0.5384919565
41	0.5381602529
42	0.5378630779
43	0.5376149814
44	0.5373410448
45	0.5363298238
46	0.5357949113
47	0.5355996626
48	0.5351951305
49	0.5348365647
50	0.5344241743
51	0.5337496652
52	0.5334982528
53	0.5332288643
54	0.5332129068
55	0.5331957975
56	0.5326196519
57	0.5326196152
58	0.5323761675
59	0.5322806603
60	0.5321130587
61	0.5317253778
62	0.5310489451
63	0.53087872
64	0.5308786868
65	0.5305851072
66	0.5304312908
67	0.5301096982
68	0.5300473705
69	0.530045666
70	0.5298246801
71	0.5292019223
72	0.529012838
73	0.5283569671
74	0.5276740948
75	0.5271954958
76	0.5269728656
77	0.5264754577
78	0.5262408127
79	0.5261426069
80	0.5261426068
81	0.5259406031
82	0.5255124466
83	0.5251894006
84	0.5249596347
85	0.5248144618
86	0.5245732302
87	0.5242828031
88	0.5242720325
89	0.5240187961
90	0.5240068541
91	0.523480526
92	0.5230965151
93	0.5228688756
94	0.5225821463
95	0.5216432142
96	0.521409226
97	0.5213212744
98	0.5208880435
99	0.5206778381
100	0.5205860649
101	0.5204538229
102	0.5203074722
103	0.5197321537
104	0.5190100778
105	0.5188172422
106	0.518561611
107	0.518200821
108	0.5179609177
109	0.5174590886
110	0.5170741934
111	0.5169320709
112	0.5162325204
113	0.5160980583
114	0.5158794681
115	0.5152986752
116	0.5152590293
117	0.5145003986
118	0.5140214395
119	0.5136534237
120	0.5131347952
121	0.5128161932
122	0.5123218608
123	0.5119567707
124	0.5116556155
125	0.5112732123
126	0.5106524652
127	0.5103090572
128	0.5101725169
129	0.5098011879
130	0.5092091949
131	0.5089989191
132	0.5086235484
133	0.5081141872
134	0.5075412852
135	0.5073642628
136	0.5072437517
137	0.5066642351
138	0.5065833753
139	0.5062808277
140	0.5057670659
141	0.5052999229
142	0.5050052589
143	0.5043047875
144	0.5041091833
145	0.5033571593
146	0.5030356867
147	0.5027098766
148	0.502290924
149	0.5018171221
150	0.5016776428
151	0.5014565889
152	0.500919327
153	0.5006428646
154	0.500348905
155	0.5001568833
156	0.4997953766
157	0.4993168595
158	0.498836639
159	0.4986387716
160	0.4984791376
161	0.4980255627
162	0.4976554712
163	0.4972781184
164	0.4969359689
165	0.4967473347
166	0.4963134125
167	0.4959709044
168	0.4957169258
169	0.4955497096
170	0.4953839779
171	0.4951834135
172	0.4947379051
173	0.494469283
174	0.4942662518
175	0.4937949029
176	0.4935485537
177	0.4934016434
178	0.4931835023
179	0.492855885
180	0.492665075
181	0.4923061589
182	0.4918529365
183	0.4915846294
184	0.4911873537
185	0.4908792886
186	0.4906703834
187	0.4902057698
188	0.4898265497
189	0.4895116671
190	0.4893087538
191	0.4890674717
192	0.4886808144
193	0.488397323
194	0.4879930941
195	0.4876015592
196	0.4875155588
197	0.4874730213
198	0.4872372557
199	0.4870255207
200	0.4868409653
201	0.4867087796
202	0.4865023402
203	0.4860177568
204	0.4856195513
205	0.4853532311
206	0.4850736797
207	0.4849155872
208	0.4847199792
209	0.4843712005
210	0.4842017611
211	0.4840031559
212	0.4838674959
213	0.4836099838
214	0.4829497424
215	0.482641834
216	0.4824094818
217	0.4821615484
218	0.4817169567
219	0.4816007032
220	0.4810974816
221	0.4807567232
222	0.480353075
223	0.4800772136
224	0.4799731638
225	0.479609006
226	0.4789596406
227	0.478539496
228	0.478058196
229	0.4777038373
230	0.4774841316
231	0.4772431057
232	0.4770489875
233	0.4769297622
234	0.4767766552
235	0.4762816831
236	0.4757398783
237	0.4755358623
238	0.4755116941
239	0.4751083222
240	0.4748445895
241	0.4748215337
242	0.4746261344
243	0.47428289
244	0.4739258329
245	0.4738749412
246	0.4737153224
247	0.4734118335
248	0.4732964162
249	0.4731592813
250	0.4728800715
251	0.4724425724
252	0.4721405795
253	0.4717638302
254	0.4716001713
255	0.4714133662
256	0.471135495
257	0.4708590891
258	0.4706596023
259	0.4705656001
260	0.4702988759
261	0.4701717404
262	0.4701150712
263	0.4699248472
264	0.469471364
265	0.4694286782
266	0.4693480771
267	0.4691491739
268	0.4690477431
269	0.4686953939
270	0.4685737868
271	0.4684055637
272	0.4680025021
273	0.4679454761
274	0.4677329692
275	0.46752382
276	0.4672675426
277	0.4671355444
278	0.466685626
279	0.466391698
280	0.4661036448
281	0.4660613609
282	0.4658021048
283	0.4655992547
284	0.4652602685
285	0.4650518841
286	0.464800866
287	0.4645763002
288	0.4643166265
289	0.46399681
290	0.4636943777
291	0.4636032551
292	0.4633778401
293	0.4633360236
294	0.4632793102
295	0.4629916057
296	0.4627536305
297	0.4624660768
298	0.462253384
299	0.4619686826
