iter	Passed	Remaining
0	101	30344
1	137	20555
2	175	17411
3	199	14744
4	211	12475
5	226	11085
6	238	9997
7	249	9120
8	261	8453
9	272	7890
10	284	7479
11	297	7139
12	308	6817
13	319	6516
14	330	6279
15	341	6060
16	353	5883
17	364	5710
18	378	5600
19	391	5485
20	403	5367
21	421	5326
22	431	5195
23	443	5100
24	455	5013
25	467	4924
26	477	4827
27	487	4739
28	499	4671
29	512	4616
30	525	4560
31	536	4491
32	547	4430
33	558	4369
34	570	4316
35	581	4263
36	588	4181
37	600	4140
38	611	4093
39	622	4047
40	634	4006
41	645	3965
42	656	3925
43	668	3887
44	680	3855
45	692	3825
46	705	3795
47	716	3764
48	730	3741
49	744	3720
50	756	3692
51	767	3661
52	780	3637
53	792	3608
54	798	3555
55	806	3515
56	819	3495
57	824	3440
58	837	3421
59	850	3400
60	862	3377
61	873	3352
62	885	3331
63	898	3312
64	903	3264
65	914	3244
66	926	3223
67	938	3202
68	950	3180
69	956	3141
70	968	3124
71	979	3102
72	992	3085
73	1005	3071
74	1016	3050
75	1029	3033
76	1041	3016
77	1053	2997
78	1066	2984
79	1076	2960
80	1082	2927
81	1094	2909
82	1106	2893
83	1119	2878
84	1132	2864
85	1144	2848
86	1156	2831
87	1169	2817
88	1185	2809
89	1199	2797
90	1206	2771
91	1224	2767
92	1236	2752
93	1248	2736
94	1261	2721
95	1273	2705
96	1283	2687
97	1292	2664
98	1305	2650
99	1317	2635
100	1333	2626
101	1346	2613
102	1361	2604
103	1374	2589
104	1386	2575
105	1400	2563
106	1413	2550
107	1427	2537
108	1438	2520
109	1450	2506
110	1464	2493
111	1477	2479
112	1489	2464
113	1501	2449
114	1512	2433
115	1524	2417
116	1535	2401
117	1547	2386
118	1560	2373
119	1573	2359
120	1586	2346
121	1598	2332
122	1611	2318
123	1624	2305
124	1636	2291
125	1650	2279
126	1665	2268
127	1677	2254
128	1689	2239
129	1702	2226
130	1716	2214
131	1729	2200
132	1741	2186
133	1753	2172
134	1766	2159
135	1779	2145
136	1792	2132
137	1804	2118
138	1817	2104
139	1829	2090
140	1842	2077
141	1855	2064
142	1867	2050
143	1880	2037
144	1892	2023
145	1905	2009
146	1916	1994
147	1929	1981
148	1941	1967
149	1955	1955
150	1968	1942
151	1981	1929
152	1994	1916
153	2008	1904
154	2020	1890
155	2032	1875
156	2045	1863
157	2057	1849
158	2071	1837
159	2085	1825
160	2099	1812
161	2114	1801
162	2128	1789
163	2142	1776
164	2156	1764
165	2170	1752
166	2187	1742
167	2202	1730
168	2217	1718
169	2229	1705
170	2242	1691
171	2255	1678
172	2268	1665
173	2281	1651
174	2293	1638
175	2306	1625
176	2318	1611
177	2331	1598
178	2344	1584
179	2356	1571
180	2369	1558
181	2381	1544
182	2394	1531
183	2409	1519
184	2422	1505
185	2435	1492
186	2447	1478
187	2460	1465
188	2474	1453
189	2487	1440
190	2501	1427
191	2513	1413
192	2527	1401
193	2541	1388
194	2554	1375
195	2566	1361
196	2579	1348
197	2592	1335
198	2606	1322
199	2618	1309
200	2631	1296
201	2643	1282
202	2656	1269
203	2669	1256
204	2680	1242
205	2692	1228
206	2706	1215
207	2718	1202
208	2730	1188
209	2743	1175
210	2755	1162
211	2769	1149
212	2780	1135
213	2795	1123
214	2807	1109
215	2819	1096
216	2832	1083
217	2845	1070
218	2857	1057
219	2870	1043
220	2883	1030
221	2895	1017
222	2906	1003
223	2918	990
224	2931	977
225	2944	964
226	2956	950
227	2967	937
228	2979	923
229	2990	910
230	3004	897
231	3016	884
232	3030	871
233	3042	858
234	3057	845
235	3069	832
236	3080	818
237	3095	806
238	3107	793
239	3119	779
240	3132	766
241	3143	753
242	3155	740
243	3171	727
244	3188	715
245	3202	703
246	3217	690
247	3229	677
248	3244	664
249	3257	651
250	3270	638
251	3283	625
252	3296	612
253	3310	599
254	3323	586
255	3335	573
256	3347	560
257	3360	547
258	3373	534
259	3384	520
260	3397	507
261	3409	494
262	3422	481
263	3436	468
264	3450	455
265	3462	442
266	3475	429
267	3489	416
268	3501	403
269	3513	390
270	3526	377
271	3539	364
272	3550	351
273	3562	338
274	3575	325
275	3589	312
276	3603	299
277	3616	286
278	3628	273
279	3639	259
280	3651	246
281	3665	233
282	3679	221
283	3691	207
284	3703	194
285	3717	181
286	3728	168
287	3740	155
288	3752	142
289	3764	129
290	3778	116
291	3791	103
292	3804	90
293	3817	77
294	3829	64
295	3842	51
296	3856	38
297	3869	25
298	3885	12
299	3900	0
